Name:  Rhay Scott	
File:  lab00a-carter.txt
Date:  July 1, 2020

**********************
Windows PowerShell transcript start
Start time: 20200701100145
Username: MCTHUGGER\McThug
RunAs User: MCTHUGGER\McThug
Configuration Name: 
Machine: MCTHUGGER (Microsoft Windows NT 10.0.18362.0)
Host Application: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Process ID: 20548
PSVersion: 5.1.18362.752
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.18362.752
BuildVersion: 10.0.18362.752
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
Transcript started, output file is C:\Users\McThug\PowerShell_transcript.MCTHUGGER.w+JeuCKQ.20200701100145.txt
PS C:\Users\McThug> get-help get-help

NAME
    Get-Help

SYNTAX
    Get-Help [[-Name] <string>] [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter | ExternalScript | All |
    DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>] [-Full]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -Detailed [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter | ExternalScript
    | All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -Examples [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter | ExternalScript
    | All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -Parameter <string> [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter |
    ExternalScript | All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -Online [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter | ExternalScript |
    All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -ShowWindow [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter |
    ExternalScript | All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]


ALIASES
    None


REMARKS
    Get-Help cannot find the Help files for this cmdlet on this computer. It is displaying only partial help.
        -- To download and install Help files for the module that includes this cmdlet, use Update-Help.
        -- To view the Help topic for this cmdlet online, type: "Get-Help Get-Help -Online" or
           go to https://go.microsoft.com/fwlink/?LinkID=113316.



PS C:\Users\McThug> get-command

CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Alias           Add-AdlAnalyticsDataSource                         4.2.3      AzureRM.DataLakeAnalytics
Alias           Add-AdlAnalyticsFirewallRule                       4.2.3      AzureRM.DataLakeAnalytics
Alias           Add-AdlStoreFirewallRule                           5.2.0      AzureRM.DataLakeStore
Alias           Add-AdlStoreItemContent                            5.2.0      AzureRM.DataLakeStore
Alias           Add-AdlStoreTrustedIdProvider                      5.2.0      AzureRM.DataLakeStore
Alias           Add-AppPackage                                     2.0.1.0    Appx
Alias           Add-AppPackageVolume                               2.0.1.0    Appx
Alias           Add-AppProvisionedPackage                          3.0        Dism
Alias           Add-AzureHDInsightConfigValues                     5.1.2      Azure
Alias           Add-AzureHDInsightMetastore                        5.1.2      Azure
Alias           Add-AzureHDInsightStorage                          5.1.2      Azure
Alias           Add-AzureRmAccount                                 4.6.0      AzureRM.Profile
Alias           Add-AzureRmIotHubEHCG                              3.1.2      AzureRM.IotHub
Alias           Add-ProvisionedAppPackage                          3.0        Dism
Alias           Add-ProvisionedAppxPackage                         3.0        Dism
Alias           Add-ProvisioningPackage                            3.0        Provisioning
Alias           Add-TrustedProvisioningCertificate                 3.0        Provisioning
Alias           Add-WAPackEnvironment                              5.1.2      Azure
Alias           Apply-WindowsUnattend                              3.0        Dism
Alias           Begin-WebCommitDelay                               1.0.0.0    WebAdministration
Alias           Confirm-SSLegacyVolumeContainerStatus              5.1.2      Azure
Alias           Disable-AzureRmHDInsightOMS                        4.1.2      AzureRM.HDInsight
Alias           Disable-AzureStorageSoftDelete                     4.2.1      Azure.Storage
Alias           Disable-PhysicalDiskIndication                     2.0.0.0    Storage
Alias           Disable-StorageDiagnosticLog                       2.0.0.0    Storage
Alias           Disable-WAPackWebsiteApplicationDiagnostic         5.1.2      Azure
Alias           Dismount-AppPackageVolume                          2.0.1.0    Appx
Alias           Edit-ASRRecoveryPlan                               0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Edit-ASRRP                                         0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Enable-AdlStoreKeyVault                            5.2.0      AzureRM.DataLakeStore
Alias           Enable-AzureRmHDInsightOMS                         4.1.2      AzureRM.HDInsight
Alias           Enable-AzureStorageSoftDelete                      4.2.1      Azure.Storage
Alias           Enable-PhysicalDiskIndication                      2.0.0.0    Storage
Alias           Enable-StorageDiagnosticLog                        2.0.0.0    Storage
Alias           Enable-WAPackWebsiteApplicationDiagnositc          5.1.2      Azure
Alias           End-WebCommitDelay                                 1.0.0.0    WebAdministration
Alias           Export-AdlStoreItem                                5.2.0      AzureRM.DataLakeStore
Alias           Flush-Volume                                       2.0.0.0    Storage
Alias           Get-AdlAnalyticsAccount                            4.2.3      AzureRM.DataLakeAnalytics
Alias           Get-AdlAnalyticsComputePolicy                      4.2.3      AzureRM.DataLakeAnalytics
Alias           Get-AdlAnalyticsDataSource                         4.2.3      AzureRM.DataLakeAnalytics
Alias           Get-AdlAnalyticsFirewallRule                       4.2.3      AzureRM.DataLakeAnalytics
Alias           Get-AdlCatalogItem                                 4.2.3      AzureRM.DataLakeAnalytics
Alias           Get-AdlJob                                         4.2.3      AzureRM.DataLakeAnalytics
